 "i" , "cLabel" , "sLabel" ,
 "http://dbpedia.org/resource/Bishop–Phelps_theorem" , "theorem" , "Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Blakers–Massey_theorem" , "theorem" , "Theorems in algebraic topology" ,
 "http://dbpedia.org/resource/Blaschke_selection_theorem" , "theorem" , "Compactness theorems" ,
 "http://dbpedia.org/resource/Blaschke–Lebesgue_theorem" , "theorem" , "Theorems in plane geometry" ,
 "http://dbpedia.org/resource/Bloch's_formula" , "theorem" , "Theorems in algebraic topology" ,
 "http://dbpedia.org/resource/Bloch's_theorem_(complex_variables)" , "theorem" , "Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Blum's_speedup_theorem" , "theorem" , "Theorems in computational complexity theory" ,
 "http://dbpedia.org/resource/Bochner's_theorem" , "theorem" , "Statistical theorems --- Theorems in Fourier analysis --- Theorems in functional analysis --- Theorems in harmonic analysis --- Theorems in measure theory" ,
 "http://dbpedia.org/resource/Bochner_identity" , "person --- theorem" , "Mathematical identities" ,
 "http://dbpedia.org/resource/Bochner–Kodaira–Nakano_identity" , "drug --- theorem" , "Mathematical identities --- Theorems in differential geometry" ,
 "http://dbpedia.org/resource/Bochner–Yano_theorem" , "theorem" , "Theorems in differential geometry" ,
 "http://dbpedia.org/resource/Bogomolov–Miyaoka–Yau_inequality" , "inequality --- theorem" , "Inequalities" ,
 "http://dbpedia.org/resource/Bohr–Mollerup_theorem" , "theorem" , "Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Bohr–van_Leeuwen_theorem" , "theorem" , "Statistical mechanics theorems" ,
 "http://dbpedia.org/resource/Bombieri–Vinogradov_theorem" , "theorem" , "Theorems in analytic number theory" ,
 "http://dbpedia.org/resource/Bondy's_theorem" , "theorem" , "Theorems in combinatorics" ,
 "http://dbpedia.org/resource/Bonnesen's_inequality" , "inequality --- theorem" , "Geometric inequalities" ,
 "http://dbpedia.org/resource/Bonnet_theorem" , "theorem" , "Theorems in differential geometry" ,
 "http://dbpedia.org/resource/Bonse's_inequality" , "inequality --- theorem" , "Inequalities --- Theorems about prime numbers" ,
 "http://dbpedia.org/resource/Book_of_Lemmas" , "book" , "Lemmas" ,
 "http://dbpedia.org/resource/Boole's_inequality" , "inequality --- theorem" , "Probabilistic inequalities --- Statistical inequalities" ,
 "http://dbpedia.org/resource/Boolean_prime_ideal_theorem" , "theorem" , "Theorems in algebra" ,
 "http://dbpedia.org/resource/Borel's_lemma" , "lemma" , "Lemmas --- Theorems in analysis" ,
 "http://dbpedia.org/resource/Borel's_theorem" , "anatomical structure --- theorem" , "Theorems in algebraic geometry --- Theorems in algebraic topology" ,
 "http://dbpedia.org/resource/Borel_determinacy_theorem" , "theorem" , "Theorems in the foundations of mathematics" ,
 "http://dbpedia.org/resource/Borel_fixed-point_theorem" , "theorem" , "Fixed-point theorems --- Theorems in algebraic geometry" ,
 "http://dbpedia.org/resource/Borell–Brascamp–Lieb_inequality" , "inequality --- theorem" , "Geometric inequalities" ,
 "http://dbpedia.org/resource/Borel–Cantelli_lemma" , "lemma --- theorem" , "Covering lemmas --- Lemmas --- Probability theorems --- Theorems in measure theory" ,
 "http://dbpedia.org/resource/Borel–Carathéodory_theorem" , "theorem" , "Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Borel–Weil_theorem" , "theorem" , "Theorems in representation theory" ,
 "http://dbpedia.org/resource/Borel–Weil–Bott_theorem" , "theorem" , "Theorems in representation theory" ,
 "http://dbpedia.org/resource/Borsuk–Ulam_theorem" , "theorem" , "Theorems in topology" ,
 "http://dbpedia.org/resource/Bott_periodicity_theorem" , "theorem" , "Theorems in topology" ,
 "http://dbpedia.org/resource/Bounded_inverse_theorem" , "theorem" , "Theorems in functional analysis" ,
